"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
3.01972963761776e-72,1.55043633923341,0.804,0.354,7.99775394523064e-68,"0","FCN1"
3.23502439696308e-68,2.00451417131186,0.76,0.379,8.56796211535673e-64,"0","VCAN"
2.16280327633269e-67,2.32604429460456,0.515,0.129,5.72818447736714e-63,"0","FCAR"
4.05777271170167e-59,1.35870780672866,0.797,0.435,1.07470110269419e-54,"0","EREG"
3.93571437967336e-55,1.78262510632148,0.624,0.243,1.04237395345649e-50,"0","CD300E"
5.23475180110006e-54,1.80329523211396,0.67,0.303,1.38642401452135e-49,"0","AQP9"
3.41705424362811e-46,2.03301480947893,0.607,0.295,9.05006816424904e-42,"0","THBS1"
1.81363210232203e-45,0.496133355749915,0.212,0.643,4.8034046229999e-41,"0","GOLIM4"
1.86575952084986e-37,0.717668693044818,0.986,0.987,4.94146409097085e-33,"0","NEAT1"
4.08169766523547e-37,1.01396743197184,0.864,0.659,1.08103762663761e-32,"0","C5AR1"
2.57454655423305e-36,2.53563493428124,0.291,0.065,6.81868654888624e-32,"0","S100A12"
1.48396836872924e-34,0.42729311776263,0.988,1,3.93029022457938e-30,"0","FTH1"
4.60582244884559e-34,1.992878808021,0.293,0.071,1.21985207557675e-29,"0","PTX3"
6.07208047648079e-34,1.3542908651162,0.695,0.396,1.60819051419594e-29,"0","S100A8"
2.05775714867689e-33,1.27100363520643,0.751,0.476,5.44996980827074e-29,"0","SLC11A1"
4.52308214277526e-33,1.20881288859357,0.852,0.766,1.19793830551403e-28,"0","TIMP1"
1.24910080743196e-31,0.722530553100615,0.958,0.945,3.30824348848355e-27,"0","BTG1"
1.64111213249444e-31,1.44709633474261,0.515,0.243,4.34648548291152e-27,"0","CFP"
3.08822518742202e-30,1.09565983183631,0.921,0.904,8.17916440888722e-26,"0","ITGAX"
4.89404293345618e-30,0.788322377694296,0.891,0.766,1.29618727092587e-25,"0","IL1B"
8.55236862474017e-30,1.12790779210253,0.887,0.843,2.26509483026243e-25,"0","TNFRSF1B"
8.94292289930859e-30,1.49643267454875,0.73,0.539,2.36853312988188e-25,"0","EHD1"
3.58720837633202e-29,1.35719075023549,0.82,0.582,9.50072138471537e-25,"0","S100A9"
4.47139773945348e-29,0.544766346941942,0.982,0.994,1.18424969129426e-24,"0","SRGN"
5.89112136192853e-29,0.532814534636255,0.984,1,1.56026349270677e-24,"0","TPT1"
6.55182852680405e-26,0.557099657128307,0.508,0.235,1.73525178532405e-21,"0","APOBEC3A"
7.44249821706076e-26,0.51964057251973,0.947,0.934,1.97114565278854e-21,"0","SOD2"
7.87798888223033e-26,1.56083674783231,0.642,0.459,2.0864853554587e-21,"0","LINC00936"
2.39305793540782e-25,0.613746192549364,0.942,0.943,6.33801394192762e-21,"0","NAMPT"
