"","cell_id","Epithelial_cluster","inferCNV_annotation"
"1","A10_1001000407","epithelial 0","tumor"
"2","A10_1001000408","epithelial 0","tumor"
"3","A10_1001000412","epithelial 0","tumor"
"4","A10_B000863","epithelial 14","nontumor"
"5","A10_B001470","epithelial 2","nontumor"
"6","A10_B001545","epithelial 15","nontumor"
"7","A10_B003187","epithelial 9","nontumor"
"8","A10_B003518","epithelial 4","tumor"
"9","A10_B003523","epithelial 17","tumor"
"10","A10_B003527","epithelial 4","tumor"
"11","A10_B003528","epithelial 1","nontumor"
"12","A10_B003529","epithelial 4","tumor"
"13","A10_B003588","epithelial 4","tumor"
"14","A11_1001000407","epithelial 0","tumor"
"15","A11_1001000408","epithelial 0","tumor"
"16","A11_1001000412","epithelial 0","tumor"
"17","A11_B000860","epithelial 14","nontumor"
"18","A11_B000861","epithelial 16","tumor"
"19","A11_B001558","epithelial 1","nontumor"
"20","A11_B002077","epithelial 6","tumor"
"21","A11_B002079","epithelial 6","tumor"
"22","A11_B003115","epithelial 2","tumor"
"23","A11_B003119","epithelial 3","tumor"
"24","A11_B003518","epithelial 8","tumor"
"25","A11_B003522","epithelial 4","tumor"
"26","A11_B003527","epithelial 4","tumor"
"27","A11_B003577","epithelial 1","nontumor"
"28","A12_1001000317","epithelial 11","tumor"
"29","A12_1001000407","epithelial 0","tumor"
"30","A12_1001000408","epithelial 0","tumor"
"31","A12_1001000412","epithelial 11","tumor"
"32","A12_B002077","epithelial 6","tumor"
"33","A12_B002078","epithelial 6","tumor"
"34","A12_B003103","epithelial 14","nontumor"
"35","A12_B003116","epithelial 3","tumor"
"36","A12_B003119","epithelial 3","tumor"
"37","A12_B003518","epithelial 4","tumor"
"38","A12_B003527","epithelial 4","tumor"
"39","A12_B003529","epithelial 8","tumor"
"40","A12_B003776","epithelial 5","tumor"
"41","A13_1001000340","epithelial 13","tumor"
"42","A13_1001000407","epithelial 0","tumor"
"43","A13_1001000408","epithelial 0","tumor"
"44","A13_1001000412","epithelial 0","tumor"
"45","A13_B003112","epithelial 3","tumor"
"46","A13_B003116","epithelial 3","tumor"
"47","A13_B003120","epithelial 15","nontumor"
"48","A13_B003187","epithelial 9","nontumor"
"49","A13_B003518","epithelial 4","tumor"
"50","A13_B003522","epithelial 4","tumor"
"51","A13_B003527","epithelial 4","tumor"
"52","A13_B003529","epithelial 8","tumor"
"53","A13_B003771","epithelial 7","nontumor"
