"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MS4A15",3.36933747377572e-208,-5.00813758968536,0.013,0.742,8.923690299295e-204
"SUSD2",3.30922559782469e-206,-2.61265579093306,0.117,0.901,8.7644839958387e-202
"C1orf116",4.26057312042629e-166,-2.58427626703602,0.394,0.944,1.1284127909449e-161
"FLRT3",4.16612742475605e-165,-3.05093037849054,0.057,0.713,1.10339884844664e-160
"AQP4",1.04944349494282e-163,-3.97101442123646,0.143,0.802,2.77945109635605e-159
"CADM1",3.20217210211653e-143,-3.07687793759889,0.17,0.792,8.48095281245562e-139
"CPM",1.15504383647593e-141,-2.46963137584114,0.302,0.876,3.05913360090651e-137
"RGS16",7.71589685965214e-141,-2.46457257940528,0.349,0.885,2.04355528327887e-136
"SFTPD",5.46149629323591e-131,-2.82745276309126,0.206,0.798,1.44647729326353e-126
"MUC1",3.21334832658578e-125,-1.46913491560643,0.813,0.984,8.51055304296244e-121
"MUC16",8.62136010093017e-125,4.82162883961227,0.705,0.031,2.28336722273135e-120
"ATP13A4",1.06898431107057e-121,-1.82988791667638,0.395,0.92,2.8312049478704e-117
"LDHB",3.83982192779245e-119,1.87151671541494,0.944,0.703,1.01697683757583e-114
"PGC",2.30186917560401e-117,-3.79200754378225,0.022,0.503,6.09650051158722e-113
"TGM2",4.61982263961675e-115,4.00401986024401,0.692,0.049,1.2235600261025e-110
"CLIC3",1.14084251988845e-113,-2.55897774667112,0.12,0.652,3.02152141392457e-109
"TNS1",3.24450013241398e-113,-1.62252740885672,0.287,0.841,8.59305860069842e-109
"PERP",1.76181740931904e-108,1.57817449454006,0.936,0.658,4.66617340858149e-104
"TIMP1",1.91126525165371e-108,2.45162259274244,0.819,0.289,5.06198601900485e-104
"PEBP4",1.21533556980412e-107,-3.32814448294668,0.023,0.476,3.21881625662622e-103
"TSPAN1",1.70168933353456e-106,3.10384922022641,0.847,0.338,4.50692419986629e-102
"CLDN18",3.15605343795861e-106,-4.49477692041443,0.026,0.47,8.35880753043337e-102
"MUC5B",5.84387822997483e-106,5.76225814578561,0.64,0.047,1.54775114920883e-101
"QPRT",3.6602631262447e-105,-1.8794991933031,0.045,0.518,9.6942068898591e-101
"EMP2",1.13685350098913e-104,-1.51975869217227,0.835,0.984,3.0109564973697e-100
"MSLN",5.81103219081039e-103,-2.17708140230425,0.163,0.682,1.53905187573613e-98
"AQP1",1.11522446714954e-100,-1.37983186767163,0.151,0.66,2.95367200124557e-96
"CAV1",1.8515676843041e-100,-3.23237794463907,0.12,0.604,4.9038770118794e-96
"CACNA2D2",1.48508158797348e-99,-2.39148138119618,0.101,0.606,3.93323858574775e-95
"HLA-DPB1",7.57406683617887e-98,-1.86023392365543,0.484,0.866,2.00599160156197e-93
"PLP2",1.18898255880919e-97,1.99112143621206,0.837,0.39,3.14902030700613e-93
"PDGFA",1.38839754016213e-97,-1.86636666385243,0.357,0.833,3.6771708851194e-93
"ANKRD29",3.19704379543962e-97,-3.13980114311996,0.077,0.536,8.46737049222184e-93
"AGER",5.28092107745813e-97,-4.20881593714255,0.068,0.513,1.39865194736479e-92
"EFNA1",1.901511397201e-96,-1.57712048528681,0.756,0.965,5.03615293548686e-92
"SCGB3A1",5.9916775167842e-96,-1.46757641490996,0.294,0.806,1.58689579032029e-91
"HOXC10",1.01887293342151e-93,-3.18392109027458,0,0.363,2.69848496416688e-89
"FOLR1",1.00700195417303e-92,-1.24657638345127,0.384,0.891,2.66704467562727e-88
"TBC1D24",1.3485901673997e-92,-1.95228610632972,0.233,0.734,3.5717410583581e-88
"SELENBP1",1.35392724398208e-92,-1.43569509034724,0.705,0.932,3.58587630568653e-88
"GATA6",1.88295738976217e-92,-2.39090009082439,0.167,0.652,4.98701264678511e-88
"MARCKS",1.14650238913722e-90,2.20131285913525,0.69,0.136,3.03651157762992e-86
"CEBPA",1.32786233972214e-90,-2.03347118503952,0.147,0.631,3.51684340675409e-86
"CHL1",5.9725730241165e-89,3.43330747115891,0.555,0.014,1.58183596543726e-84
"SCNN1B",4.67156020932174e-88,-1.76890926633066,0.247,0.746,1.23726272143886e-83
"HSD17B6",7.25664812831847e-88,-2.83759035901792,0.093,0.538,1.92192325678515e-83
"HLA-DMA",5.90860898542351e-87,-1.49896887142509,0.601,0.92,1.56489508978942e-82
"CIB1",4.87575367654784e-86,1.55791309635179,0.935,0.744,1.2913433612337e-81
"GAS6",3.81573838159631e-85,-2.12997097087254,0.225,0.693,1.01059831036578e-80
"TSPAN3",7.55376307078475e-85,1.22974524256323,0.937,0.829,2.00061414929734e-80
"CRABP2",8.28304960596603e-85,-2.58914888695177,0.115,0.563,2.1937656881401e-80
"TFCP2L1",2.26659515520639e-84,-2.06397467189942,0.171,0.635,6.00307726856411e-80
"VEPH1",1.87071165506929e-83,-2.0829265592796,0.101,0.548,4.95457981845101e-79
"ABCA1",2.53380544958271e-83,-2.13995936496333,0.214,0.67,6.71078373321981e-79
"CYP2B7P",2.22917127416972e-81,-1.69344150720154,0.322,0.779,5.9039601196385e-77
