"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"SAA1",3.15318378131697e-09,1.90987004394689,0,1,8.35120724481799e-05,"SAA1","p_val_adj<0.05"
"TYMP",1.57704040661419e-08,2.80659325875354,0.733,1,0.000417679151691767,"TYMP","p_val_adj<0.05"
"PITX1",6.60960351036463e-08,1.09180695509108,0,0.923,0.00175055348972007,"PITX1","p_val_adj<0.05"
"KRT14",6.60960351036464e-08,5.17759315426728,0,0.923,0.00175055348972007,"KRT14","p_val_adj<0.05"
"SCPEP1",1.47080789377705e-07,2.20600541063392,0.533,0.923,0.00389543470666853,"SCPEP1","p_val_adj<0.05"
"SERPINB5",6.77359561530622e-07,1.20342639557756,0,0.846,0.0179398679871385,"SERPINB5","p_val_adj<0.05"
"KRT17",7.52049350256069e-07,3.54649243811466,0.133,1,0.019918027041532,"KRT17","p_val_adj<0.05"
"G3BP1",1.18919401756414e-06,1.88693631773962,0.8,1,0.0314958035551862,"G3BP1","p_val_adj<0.05"
"AKR1C2",3.98686584592521e-06,1.78156926821578,0.067,0.923,0.105592141929329,"AKR1C2","NS"
"TRIM47",4.69735686669931e-06,0.799587433486686,0,0.769,0.124409496614531,"TRIM47","NS"
"IL20RB",4.69735686669931e-06,1.29242297410133,0,0.769,0.124409496614531,"IL20RB","NS"
"SFRP1",4.69735686669931e-06,1.43816287725674,0,0.769,0.124409496614531,"SFRP1","NS"
"SNAI2",4.69735686669931e-06,1.64363436928102,0,0.769,0.124409496614531,"SNAI2","NS"
"KRT5",4.69735686669931e-06,2.70663081610449,0,0.769,0.124409496614531,"KRT5","NS"
"SELT",4.85865027275982e-06,1.37228686662202,0.667,1,0.128681352474044,"SELT","NS"
"GRN",5.20736269677523e-06,1.74503586589553,0.933,0.923,0.137917001024092,"GRN","NS"
"MIR205HG",5.26037616758864e-06,1.67658118888038,0.067,0.923,0.139321062798585,"MIR205HG","NS"
"PTGES3",6.9964398049468e-06,1.11194851761528,1,1,0.185300708234016,"PTGES3","NS"
"ZFX",8.55838485707275e-06,0.541986335389333,0.2,1,0.226668822939572,"ZFX","NS"
"PAFAH1B2",1.18100769653487e-05,1.29244920205238,0.533,1,0.312789888427261,"PAFAH1B2","NS"
