"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MUC16",2.63452626766714e-113,-1.17432613174933,0.068,0.87,6.97754281991642e-109
"GPR87",1.14975982254032e-106,-0.841993677850354,0.018,0.748,3.04513888999803e-102
"PLAU",5.29564755239203e-99,-1.20463288634913,0.047,0.774,1.40255225425103e-94
"ADGRF1",3.11526379758853e-98,-1.20371905356159,0.151,0.874,8.25077616791322e-94
"RGS10",1.00165394814957e-96,-0.71302389117617,0.124,0.839,2.65288048167414e-92
"S100A9",4.27389156268943e-94,-2.08821379134669,0.122,0.826,1.1319401803783e-89
"PRAME",5.38996873586025e-94,-0.607569479418401,0.016,0.674,1.42753321969259e-89
"CPE",5.55918079340242e-89,-1.01749576654093,0.101,0.843,1.47234903313263e-84
"SFTPB",8.78561634073406e-88,5.30563638077129,0.882,0.035,2.32687048784342e-83
"UCK2",4.07099474616815e-87,-0.559463773921253,0.084,0.796,1.07820295852263e-82
"GCNT3",1.31448841660661e-86,-1.12260341944208,0.097,0.778,3.4814225713826e-82
"SLCO4A1",1.38812610259975e-84,-0.995553366711322,0.084,0.739,3.67645198273544e-80
"ZFP36L1",9.6331217812525e-84,1.61555216190924,0.984,0.861,2.55133230376472e-79
"STS",2.18460427284579e-83,-0.695332385506951,0.124,0.804,5.78592441663208e-79
"PPM1H",1.17367255381013e-82,-0.905473763520512,0.14,0.826,3.10847175876614e-78
"TGM2",1.52947970288974e-82,-0.590372956903696,0.104,0.809,4.05082699310348e-78
"VTRNA1-2",1.87447084367997e-82,-0.718443984892051,0.025,0.639,4.9645360294864e-78
"JUN",6.8318084761096e-82,2.32552695391023,0.982,0.857,1.80940447489763e-77
"FOS",7.23848273963358e-80,2.40473487799198,0.971,0.443,1.91711215359195e-75
"FOSB",8.83881681479985e-80,1.6290585884435,0.948,0.274,2.34096063339974e-75
"SLC16A3",1.28756727823922e-78,-1.075641599989,0.248,0.896,3.41012193641657e-74
"SUSD2",1.63379422265024e-76,1.95258304174157,0.846,0.104,4.32710399868917e-72
"SRGAP1",2.73505783891073e-76,-0.695345633010132,0.151,0.835,7.24380068635508e-72
"TMSB10",6.99013770235201e-75,-1.26811337240154,0.975,0.991,1.85133797046793e-70
"CAMK2N1",1.21306259939028e-72,-0.349455252546673,0.07,0.683,3.21279629448515e-68
