"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"RGS10",7.82480599929936e-98,-0.715150091399385,0.05,0.839,2.07239986891443e-93
"GPR87",2.35464385327712e-93,-0.843096304639044,0.015,0.748,6.23627424540446e-89
"CRABP2",4.66740878933148e-90,-1.61202249283261,0.123,0.861,1.23616321785444e-85
"COTL1",2.79173950555698e-89,-0.835750020792097,0.094,0.878,7.39392208046766e-85
"PPM1H",5.39560080666319e-87,-0.923225142307697,0.07,0.826,1.42902487364475e-82
"LINC01133",2.76132195637573e-86,-0.474025942575646,0.031,0.757,7.31336120146113e-82
"LY6K",2.19066291844892e-85,-0.531105806533467,0.042,0.778,5.80197073951197e-81
"PRAME",2.30255912648992e-84,-0.614816078995432,0.004,0.674,6.09832784650854e-80
"PLTP",2.67130776912886e-83,-0.95905869498848,0.131,0.843,7.07495862653779e-79
"SPINK1",1.15876046293464e-80,-1.15254222378044,0.083,0.813,3.0689770860824e-76
"CPM",2.16040211978936e-76,-1.27353343990885,0.208,0.878,5.72182501426213e-72
"ZFP36L1",2.45717332074994e-76,1.91017256872601,0.967,0.861,6.50782354000621e-72
"TUBB6",1.32136149678356e-71,-0.595283864881423,0.055,0.704,3.49962592423127e-67
"ALDOA",3.74972713707678e-71,-1.68309719712439,0.893,0.996,9.93115232254785e-67
"RNASE1",7.36651279337246e-70,2.75569856452357,0.869,0.248,1.9510209133247e-65
"MUC5B",4.93218011940472e-69,3.96404920376901,0.869,0.313,1.30628790462434e-64
"CSF2RA",1.6926141584747e-67,-0.484852063096267,0.02,0.596,4.48288859872025e-63
"HAGHL",3.09812357605692e-67,-0.339958317186846,0.048,0.661,8.20538029118675e-63
"SMIM22",1.37796765631778e-66,-0.759460528642189,0.444,0.957,3.64954733775763e-62
"FXYD3",4.24803296441785e-66,-1.75500971761835,0.462,0.935,1.12509153062607e-61
"POLR3K",2.77152484693398e-64,-0.592254193875724,0.158,0.796,7.34038355710465e-60
"NQO1",4.29334762718859e-64,-1.25603105378591,0.278,0.861,1.1370931190609e-59
"RPL9",9.80682777728675e-64,-1.26895169055898,0.919,0.987,2.5973383368144e-59
"IER3",1.65504106126905e-63,2.0984440985667,0.884,0.417,4.38337625077107e-59
"TMSB10",2.18498532378728e-63,-1.11829852540364,0.976,0.991,5.78693363005061e-59
"TPD52L1",4.07346015490868e-63,-0.462118629510371,0.042,0.617,1.07885592202756e-58
"VAMP5",1.72395486030201e-62,-0.611053709240951,0.118,0.743,4.56589444750989e-58
"PPIA",3.52073890314047e-62,-1.12207583329502,0.937,0.987,9.32467698496754e-58
"NPDC1",1.61266930500652e-61,-0.274736542217132,0.066,0.683,4.27115465430977e-57
"VTRNA1-2",2.97462661416379e-61,-0.615525152029986,0.044,0.639,7.8782985876128e-57
"CYP3A5",1.07057877743571e-60,-0.703951428049735,0.031,0.583,2.83542789203848e-56
"IFITM1",1.66868898800755e-60,1.59757034150699,0.904,0.339,4.41952278473799e-56
"VIM",2.41867586767183e-60,1.89149197230626,0.799,0.148,6.40586303552884e-56
"TXN",3.61347927370882e-60,-0.927551988813072,0.777,0.974,9.57029985641781e-56
"ADGRF1",5.69049109129117e-60,-1.01838821334645,0.33,0.874,1.50712656552847e-55
"LRIG3",7.84636403704381e-60,2.02676248210452,0.821,0.304,2.07810951521105e-55
"SAA1",1.49353968029583e-59,-1.59009505154597,0.046,0.583,3.95563984326349e-55
"BEX2",4.30749909373227e-59,-0.53903724294855,0.07,0.678,1.14084113497499e-54
"NDUFAB1",6.7796078164694e-59,-0.9396332222842,0.567,0.935,1.79557913019192e-54
"UCK2",1.53185814987581e-58,-0.463576922460903,0.166,0.796,4.0571263099461e-54
"VGLL1",2.809146151552e-58,-1.06788150868035,0.004,0.491,7.44002358238548e-54
"NGFRAP1",4.65017386989759e-58,-1.13935879098162,0.427,0.961,1.23159854944238e-53
"IMPA2",4.72296421478444e-58,-0.541352625966197,0.153,0.778,1.25087707228566e-53
"TBC1D15",1.05383626071942e-57,-0.442015003062115,0.131,0.743,2.79108533651539e-53
"TNC",1.65060561380347e-57,1.9589635841509,0.731,0.065,4.37162896815849e-53
"PROM2",3.0908895417439e-57,-0.252900703398723,0.083,0.678,8.18622095130873e-53
"SOX11",3.15089971496232e-57,1.08936440335913,0.687,0.009,8.3451578950777e-53
"DAB2",3.26248247052806e-57,-0.37048476445781,0.033,0.548,8.64068482319358e-53
"ACKR2",5.71497509238727e-57,-0.361197460669167,0.07,0.63,1.51361115321877e-52
"SLCO4A1",6.67232692436756e-57,-0.850447324941089,0.153,0.739,1.76716578591875e-52
"PLIN2",3.6555871507283e-56,-1.33785633493785,0.298,0.87,9.68182256870389e-52
"PTN",5.58704005802264e-56,1.28864471706001,0.729,0.052,1.4797275593673e-51
"NAAA",5.84436093807761e-56,-0.303166712627519,0.066,0.639,1.54787899444986e-51
"MUC20",8.71609890064998e-56,-2.13088481100381,0.4,0.852,2.30845879383715e-51
"RELL1",2.71165878407944e-55,-0.622062341046889,0.221,0.848,7.1818282896344e-51
"CEACAM6",3.34013076834055e-55,2.17169099308023,0.934,0.791,8.84633633994995e-51
"CPNE7",5.63831701145412e-55,-0.291527633238084,0.022,0.526,1.49330826048362e-50
"SAA2",1.83586683198155e-54,-0.730621667697503,0.026,0.517,4.86229330450313e-50
"ALOX5",9.17672733499831e-54,-1.41570130291639,0.035,0.526,2.4304562346743e-49
"COX17",1.74413580376372e-53,-0.466802216634883,0.589,0.948,4.61934367626821e-49
"APOD",1.11224538469967e-52,-0.348700594417639,0.077,0.643,2.94578190137708e-48
"CBLC",1.17995190040752e-52,-0.312764568681712,0.088,0.652,3.12510260822933e-48
"HN1",1.22961712202244e-52,-1.00382518022617,0.617,0.957,3.25664094767643e-48
"GDPD3",1.71451341048048e-52,-0.560608174243377,0.022,0.496,4.54088876765755e-48
"FOLR1",5.52554568886111e-52,-0.859439707820776,0.263,0.822,1.46344077569486e-47
"TMEM33",5.69782136805761e-52,-0.889248444608773,0.453,0.926,1.50906798933006e-47
"PDLIM1",5.95332492502112e-52,-1.000410263334,0.449,0.883,1.57673810639184e-47
"MGP",9.70838971071668e-52,2.69300651762154,0.65,0.017,2.57126701488331e-47
"GPX8",1.11110802239271e-51,-0.528859814911399,0.09,0.622,2.94276959730709e-47
"ACP5",2.39726604735539e-51,-0.291589335338522,0.046,0.548,6.34915912642076e-47
"FOS",4.49395417950142e-51,2.95831026606845,0.845,0.443,1.19022376444095e-46
"GJB2",6.13850503824073e-51,-0.628192369227318,0.013,0.461,1.62578305937806e-46
"SMIM20",8.6596718853827e-51,-0.494021235630141,0.236,0.809,2.29351409884361e-46
"ITGB2",9.5325511079535e-51,-0.418966342435442,0.085,0.63,2.52469616094149e-46
"PSMB4",2.07698192875913e-50,-0.863001713174275,0.766,0.952,5.50088663831854e-46
"BST1",2.23816618457361e-50,-0.470892614348575,0.009,0.448,5.9277831398432e-46
"DECR2",2.50167465083661e-50,-0.391652644832769,0.129,0.691,6.62568531274076e-46
"SLC25A5",3.07544238342369e-50,-0.983019725335296,0.781,0.957,8.14530915249765e-46
"CTSL",4.242209986726e-50,-1.03850003863785,0.295,0.83,1.12354931498438e-45
"MDH2",4.49868869839701e-50,-0.905955109633779,0.674,0.943,1.19147770177045e-45
"SLC39A11",5.16953051307357e-50,-0.986246648483924,0.486,0.887,1.36915015638754e-45
"BEX4",1.05737305485572e-49,-0.287426991300584,0.039,0.522,2.80045253578537e-45
"ASS1",1.07332887399354e-49,-1.77678103620956,0.442,0.878,2.84271152277188e-45
"MYL12B",1.19649430783444e-49,-0.869567695635821,0.823,0.97,3.16891517429953e-45
"IL19",1.4281083637777e-49,-0.886858148895383,0.002,0.422,3.78234500146524e-45
"MRPL15",4.06082569741033e-49,-0.552974627399768,0.214,0.8,1.07550968595913e-44
"IQGAP2",5.07029403753858e-49,1.06142200434679,0.641,0.03,1.34286737584209e-44
"ADTRP",5.4742404751191e-49,-0.444277574933728,0.002,0.417,1.44985258983529e-44
"COX6C",6.46940444149337e-49,-0.939351092427653,0.751,0.957,1.71342176632952e-44
"B4GALT1",1.06582206264205e-48,-0.581308678849313,0.718,0.952,2.82282973290748e-44
"GCLC",1.06823751131689e-48,-0.326495372453169,0.123,0.678,2.82922704872278e-44
"S100A4",1.16726823537314e-48,-0.916096499303652,0.19,0.774,3.09150992138577e-44
"GATM",1.28370397487487e-48,-0.465693385959309,0.031,0.483,3.3998899774561e-44
"SNCG",1.96701414034329e-48,-0.764977434106981,0.015,0.448,5.20963695069919e-44
"PLEKHA5",7.51790591440878e-48,1.12495125566935,0.79,0.33,1.99111738143117e-43
"TMBIM6",1.01180662183465e-47,-0.88115787432431,0.884,0.978,2.67976983792906e-43
"MRPL13",1.11235311211169e-47,-0.613953112069689,0.352,0.896,2.94606721742782e-43
"SNX4",1.22761672615094e-47,-0.378385409563224,0.168,0.713,3.25134289921077e-43
"HTATIP2",1.34746385802583e-47,-1.04429853781803,0.3,0.8,3.56875802798142e-43
"NIT2",1.94556561242735e-47,-0.601623979510305,0.289,0.865,5.15283052451383e-43
"EPB41L3",4.27607869025541e-47,-0.358409992885679,0.024,0.461,1.13251944111414e-42
"COL1A1",4.73033026349144e-47,2.20178092848522,0.814,0.535,1.25282797028571e-42
"ADAM15",4.84907193946291e-47,-1.14605432919693,0.442,0.874,1.28427670316675e-42
"C5orf30",6.50820227534614e-47,-0.271085820790753,0.002,0.404,1.72369737262543e-42
"FBLN1",9.42116875679478e-47,-0.363189359965023,0.107,0.665,2.4951965452371e-42
"DCTPP1",9.55032365813593e-47,-0.389050926364289,0.23,0.83,2.5294032208573e-42
"KRTCAP3",1.18163940306213e-46,-0.854392195529437,0.503,0.87,3.12957195901004e-42
"SLC30A9",1.43302376923154e-46,-0.370487482109075,0.28,0.835,3.79536345280973e-42
