© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Glucocorticoid Receptor Signaling	8.2E00	9.86E-02	NaN	ICAM1,SGK1,POU2F2,SMAD3,HSPA1A/HSPA1B,CCL5,TAF10,NFKB1,NFATC1,TGFBR2,POLR2A,FOXO3,NFKBIB,TAF2,ADRB2,CXCL8,AKT2,IL10,CREBBP,SMARCE1,GTF2F1,CEBPB,STAT3,NCOA3,SMARCD3,NFKBID,FOS,BCL2L1,IL1RN,DUSP1,CDKN1A,PRKACA,IL1B,JAK3
IL-10 Signaling	7.52E00	2.03E-01	NaN	SOCS3,IL1A,IL10,NFKB2,STAT3,IL1R1,NFKB1,NFKBID,FOS,IL1RN,IL1B,MAP2K3,NFKBIB,MAP4K4
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	7.32E00	9.66E-02	NaN	SOCS3,IL1A,ICAM1,PDGFA,IL32,CCL5,NFKB1,NFATC1,TNFRSF1B,CTNNB1,NFKBIB,TRAF1,CXCL8,AKT2,C5AR1,IL10,IL6R,CREBBP,CEBPB,STAT3,IL1R1,NFKBID,FOS,IL1RN,CSF1,RHOA,IL1B,MAP2K3,LRP1,IRAK2,PRKCB
IL-6 Signaling	7.28E00	1.42E-01	-3.900	CXCL8,SOCS3,IL1A,AKT2,IL6R,CEBPB,IL1R1,STAT3,NFKB2,NFKB1,FOS,NFKBID,IL1RN,IL1B,MAP2K3,TNFRSF1B,NFKBIB,MAP4K4,MCL1
NF-κB Signaling	6.84E00	1.18E-01	-3.411	IL1A,AKT2,RELB,CREBBP,IL1R1,MALT1,NFKB2,TNFRSF11A,NFKB1,TAB3,TGFBR2,NFKBID,TNIP1,IL1RN,PELI1,PRKACA,IL1B,MAP3K8,TNFRSF1B,NFKBIB,MAP4K4,PRKCB
Osteoarthritis Pathway	6.48E00	1.08E-01	-1.279	SIK3,CXCL8,DDIT4,PPARD,SMAD3,CREBBP,CEBPB,IL1R1,NFKB2,NFKB1,TGFBR2,S100A9,FOXO3,SIRT1,SPHK1,IL1B,NAMPT,CTNNB1,TNFRSF1B,HTRA1,NOTCH1,PTCH2,LRP1
PPARα/RXRα Activation	6.26E00	1.13E-01	1.414	SMAD3,CD36,CREBBP,BCL3,IL1R1,NFKB2,NFKB1,MED12,NCOA3,ABCA1,TGFBR2,NFKBID,GK,PRKACA,IL1B,MAP2K3,NFKBIB,RXRA,MAP4K4,ACVR2A,PRKCB
TREM1 Signaling	6.19E00	1.73E-01	-3.051	CXCL8,NOD2,AKT2,NLRP3,ICAM1,NLRP12,IL10,IL1B,CD83,STAT3,NFKB2,NFKB1,ITGAX
PPAR Signaling	6.14E00	1.49E-01	2.324	IL1A,PDGFA,PPARD,CREBBP,NFKB2,IL1R1,NFKB1,NFKBID,FOS,IL1RN,IL1B,NFKBIB,TNFRSF1B,RXRA,MAP4K4
PI3K/AKT Signaling	6.07E00	1.31E-01	-2.138	TP53,GAB2,AKT2,BAD,YWHAZ,GSK3A,NFKB2,NFKB1,BCL2L1,NFKBID,FOXO3,CDKN1A,MAP3K8,CTNNB1,JAK3,NFKBIB,MCL1
Toll-like Receptor Signaling	5.32E00	1.58E-01	-2.646	FOS,IL1A,IL1RN,TICAM1,IL1B,MAP2K3,NFKB2,NFKB1,UBC,MAP4K4,TRAF1,IRAK2
